,cost,distance,dropoff_latitude,dropoff_longitude,passengers,pickup_latitude,pickup_longitude,store_forward,vendor,pickup_weekday,pickup_month,pickup_monthday,pickup_hour,pickup_minute,pickup_second,dropoff_weekday,dropoff_month,dropoff_monthday,dropoff_hour,dropoff_minute,dropoff_second
465,13.0,2.4,40.700462341308594,-73.94271087646484,1,40.69330596923828,-73.97915649414062,0,1,1,1,12,10,8,44,1,1,12,10,26,12
466,6.5,1.0,40.84925079345703,-73.93561553955078,1,40.83968734741211,-73.94338989257812,0,1,4,1,15,11,9,38,4,1,15,11,16,51
467,13.0,3.45,40.67132568359375,-73.76835632324219,1,40.700462341308594,-73.8078384399414,0,2,1,1,5,9,51,57,1,1,5,10,5,25
468,4.0,0.37,40.80889892578125,-73.95964813232422,1,40.80819320678711,-73.96363067626953,0,2,3,1,21,22,2,18,3,1,21,22,4,45
469,9.0,1.94,40.81285858154297,-73.94142150878906,1,40.793190002441406,-73.94065856933594,0,2,6,1,17,13,39,54,6,1,17,13,49,44
470,8.0,1.3,40.83362197875977,-73.92021942138672,3,40.84921646118164,-73.91130065917969,0,1,6,1,10,4,5,29,6,1,10,4,12,38
471,15.5,4.12,40.684814453125,-73.91036224365234,1,40.68484878540039,-73.97785186767578,0,2,4,1,22,23,30,1,4,1,22,23,48,56
472,4.0,0.7,40.812103271484375,-73.95352172851562,1,40.81978225708008,-73.95486450195312,0,2,1,1,19,8,22,31,1,1,19,8,24,58
473,9.0,2.04,40.72329330444336,-73.89398193359375,1,40.74581146240234,-73.90020751953125,0,2,3,1,7,21,5,55,3,1,7,21,14,43
474,10.5,1.94,40.765480041503906,-73.91826629638672,1,40.74540328979492,-73.90347290039062,0,2,0,1,18,18,59,13,0,1,18,19,12,12
475,16.5,4.21,40.68172836303711,-73.91177368164062,1,40.70871353149414,-73.9589614868164,0,2,1,1,12,22,39,42,1,1,12,22,59,23
476,10.5,2.7,40.80107879638672,-73.96511840820312,1,40.826358795166016,-73.95523071289062,0,1,0,1,18,16,31,39,0,1,18,16,41,37
477,42.0,8.3,40.7237663269043,-74.00593566894531,1,40.74706268310547,-73.92253875732422,0,1,4,1,22,8,29,20,4,1,22,9,28,56
478,17.5,4.43,40.75680160522461,-73.9642105102539,1,40.74653244018555,-73.895263671875,0,2,5,1,9,16,0,4,5,1,9,16,19,40
479,11.0,1.41,40.68532943725586,-73.97228240966797,5,40.675052642822266,-73.9813003540039,0,2,6,1,24,18,2,54,6,1,24,18,20,17
480,15.5,3.64,40.67570114135742,-73.9633560180664,1,40.72206115722656,-73.95767211914062,0,2,5,1,30,18,30,27,5,1,30,18,51,0
481,7.0,1.38,40.83335876464844,-73.86156463623047,1,40.82050704956055,-73.85359954833984,0,2,1,1,12,1,53,30,1,1,12,2,1,15
482,7.0,1.26,40.673038482666016,-73.96287536621094,1,40.68771743774414,-73.96990203857422,0,2,5,1,30,22,56,34,5,1,30,23,3,47
483,19.5,5.46,40.69053268432617,-73.85295867919922,1,40.746055603027344,-73.89871978759766,0,2,0,1,18,12,10,19,0,1,18,12,30,27
484,9.5,2.21,40.66343688964844,-73.9844970703125,1,40.68688201904297,-73.98479461669922,0,2,6,1,24,9,2,11,6,1,24,9,13,40
485,6.5,1.34,40.76778793334961,-73.92337799072266,1,40.75711059570313,-73.93930053710938,0,2,5,1,9,15,13,59,6,1,10,15,7,0
486,7.0,1.56,40.797271728515625,-73.93770599365234,1,40.809329986572266,-73.92333221435547,0,2,3,1,7,19,16,19,3,1,7,19,22,41
487,16.0,3.6,40.76302719116211,-73.98014831542969,1,40.809791564941406,-73.96253967285156,0,1,4,1,8,10,54,1,4,1,8,11,14,17
488,6.5,0.7,40.72102355957031,-73.85498046875,1,40.72135543823242,-73.84432220458984,0,2,1,1,5,18,8,16,1,1,5,18,16,11
489,9.5,1.8,40.81787109375,-73.9277572631836,1,40.834564208984375,-73.94439697265625,1,1,3,1,7,10,34,23,3,1,7,10,44,46
490,7.5,1.49,40.7674446105957,-73.86699676513672,1,40.75161361694336,-73.85608673095703,0,2,0,1,25,23,53,4,1,1,26,0,0,57
491,6.0,1.0,40.810306549072266,-73.94718170166016,1,40.81603240966797,-73.96047973632812,0,1,0,1,11,9,30,0,0,1,11,9,36,20
492,12.0,2.9,40.68141174316406,-73.9466323852539,1,40.66697311401367,-73.9814224243164,0,2,4,1,22,21,9,11,4,1,22,21,22,36
493,13.5,1.35,40.67273330688477,-73.95347595214844,1,40.67942810058594,-73.94588470458984,0,2,6,1,3,14,1,22,6,1,3,14,23,4
494,7.5,1.47,40.72025680541992,-73.96319580078125,1,40.733642578125,-73.95490264892578,0,2,5,1,9,19,57,51,5,1,9,20,5,48
495,9.0,1.93,40.80971145629883,-73.94229125976562,1,40.805335998535156,-73.96189880371094,0,2,5,1,9,21,42,56,5,1,9,21,53,28
496,19.5,6.1,40.72532653808594,-73.8509750366211,1,40.73074722290039,-73.95423889160156,0,2,6,1,17,2,59,9,6,1,17,3,14,43
497,5.5,0.6,40.69160079956055,-73.98727416992188,1,40.68944549560547,-73.99236297607422,0,1,4,1,29,20,54,41,4,1,29,21,0,21
498,6.5,1.16,40.73622131347656,-73.8492202758789,1,40.721107482910156,-73.84410095214844,0,2,1,1,26,23,5,10,1,1,26,23,12,20
499,8.5,2.18,40.70999526977539,-73.87776184082031,3,40.73362350463867,-73.86985778808594,0,2,0,1,11,20,6,32,0,1,11,20,14,13
500,8.5,1.8,40.709571838378906,-73.81526184082031,1,40.72134780883789,-73.84439086914062,0,2,0,1,11,20,0,25,0,1,11,20,8,52
501,6.0,1.04,40.67344665527344,-73.9362564086914,2,40.67049026489258,-73.92536926269531,0,2,3,1,28,9,40,12,3,1,28,9,46,46
502,9.0,1.85,40.80169677734375,-73.94574737548828,1,40.822837829589844,-73.93836212158203,0,2,5,1,16,15,34,55,5,1,16,15,44,9
503,6.5,1.06,40.68905258178711,-73.98358917236328,1,40.6929817199707,-73.9712142944336,0,2,3,1,7,11,28,33,3,1,7,11,35,37
504,15.0,3.1,40.72865676879883,-73.99854278564453,1,40.71481704711914,-73.9587173461914,0,1,6,1,10,16,16,1,6,1,10,16,35,39
505,23.5,8.1,40.77040481567383,-73.86483764648438,1,40.74457931518555,-73.95674133300781,0,1,3,1,28,7,32,20,3,1,28,7,47,59
506,5.5,0.8,40.72033309936523,-73.84314727783203,3,40.72064208984375,-73.8552474975586,0,1,2,1,27,15,55,27,2,1,27,16,0,43
507,12.5,2.6,40.67932891845703,-73.9300537109375,1,40.68878173828125,-73.98074340820312,0,2,5,1,9,19,31,33,5,1,9,19,47,45
508,47.0,10.63,40.71596145629883,-74.00447845458984,1,40.74928665161133,-73.86908721923828,0,2,1,1,19,7,46,26,1,1,19,9,1,38
509,25.0,7.34,40.763916015625,-73.95423889160156,1,40.697425842285156,-73.9927978515625,0,2,1,1,19,8,39,5,1,1,19,9,7,32
510,21.0,3.9,40.74436569213867,-73.9857406616211,1,40.78984069824219,-73.95223999023438,0,2,3,1,28,19,31,29,3,1,28,20,5,1
511,6.0,0.75,40.67962646484375,-73.96504211425781,1,40.68397521972656,-73.97611236572266,0,2,5,1,30,11,36,28,5,1,30,11,42,30
512,7.5,1.75,40.69559860229492,-73.95960998535156,1,40.689735412597656,-73.98123931884766,0,2,3,1,28,23,56,36,4,1,29,0,3,10
513,13.5,3.0,40.78435897827149,-73.97377014160156,1,40.80522155761719,-73.93913269042969,0,2,3,1,21,19,17,22,3,1,21,19,34,41
514,6.0,1.43,40.73117065429688,-73.95777130126953,1,40.71498107910156,-73.96488189697266,0,2,2,1,20,22,58,3,2,1,20,23,1,59
515,7.0,1.3,40.61532974243164,-73.9339370727539,1,40.61405563354492,-73.9272232055664,0,1,6,1,17,5,27,19,6,1,17,5,33,38
516,8.0,1.81,40.823814392089844,-73.944091796875,1,40.80408477783203,-73.94808959960938,0,2,6,1,3,23,46,37,6,1,3,23,53,17
517,7.5,1.65,40.813907623291016,-73.93683624267578,1,40.8022689819336,-73.9502182006836,0,2,0,1,18,13,18,47,0,1,18,13,27,29
518,6.0,1.07,40.798728942871094,-73.93943786621094,1,40.7859001159668,-73.94313049316406,0,2,5,1,2,16,12,31,5,1,2,16,17,39
519,7.0,0.92,40.74266815185547,-73.95257568359375,1,40.73368835449219,-73.95569610595703,0,2,2,1,6,9,14,22,2,1,6,9,21,48
520,15.5,4.02,40.720115661621094,-73.95743560791016,5,40.684043884277344,-73.97845458984375,0,2,6,1,17,10,57,0,6,1,17,11,12,22
521,25.5,5.8,40.751075744628906,-73.9900894165039,1,40.69389724731445,-73.992919921875,0,1,6,1,3,15,7,35,6,1,3,15,37,9
522,10.0,1.98,40.68997573852539,-73.96014404296875,1,40.69368362426758,-73.99056243896484,0,2,0,1,4,16,42,28,0,1,4,16,55,26
523,10.0,2.09,40.82318878173828,-73.94904327392578,1,40.803123474121094,-73.93428039550781,0,2,4,1,22,19,54,17,4,1,22,20,6,14
524,18.0,5.0,40.67786026000977,-73.98279571533203,2,40.71302032470703,-73.9661636352539,0,1,4,1,8,1,23,31,4,1,8,1,40,50
525,60.0,18.46,40.64431381225586,-73.78206634521484,1,40.63191604614258,-73.98379516601562,0,2,0,1,4,14,25,35,0,1,4,15,28,44
526,20.5,6.95,40.67173385620117,-73.72796630859375,1,40.69356918334961,-73.80450439453125,0,2,6,1,10,23,21,45,6,1,10,23,33,9
527,8.5,2.12,40.72218704223633,-73.99615478515625,1,40.69781112670898,-73.9850082397461,0,2,6,1,24,13,31,4,6,1,24,13,38,10
528,21.0,7.0,40.85446166992188,-73.86222076416016,1,40.83094024658203,-73.924072265625,0,1,6,1,3,19,1,51,6,1,3,19,19,39
529,20.0,5.17,40.67638397216797,-73.92610931396484,1,40.675758361816406,-73.9990463256836,0,2,1,1,19,20,25,50,1,1,19,20,51,0
530,5.0,0.91,40.84666061401367,-73.86096954345703,1,40.84111785888672,-73.87284851074219,0,2,2,1,27,19,38,31,2,1,27,19,42,38
531,5.5,0.91,40.672508239746094,-73.93373107910156,1,40.66901016235352,-73.93097686767578,0,2,0,1,11,0,50,42,0,1,11,0,55,53
532,6.0,1.17,40.68593215942383,-73.93584442138672,1,40.6859016418457,-73.91573333740234,0,2,3,1,7,20,46,20,3,1,7,20,53,58
533,5.5,0.8,40.75791931152344,-73.8438491821289,1,40.75933074951172,-73.83351135253906,0,1,5,1,9,15,10,14,5,1,9,15,15,40
534,6.0,1.14,40.71325302124024,-73.8491439819336,2,40.72071838378906,-73.85645294189453,0,2,4,1,22,7,54,51,4,1,22,8,0,9
535,13.0,3.27,40.717018127441406,-73.83489990234375,1,40.699161529541016,-73.8071517944336,0,2,4,1,8,13,48,19,4,1,8,14,5,50
536,11.5,3.21,40.71739196777344,-73.95208740234375,1,40.68988037109375,-73.98002624511719,0,2,6,1,24,19,31,11,6,1,24,19,40,36
537,6.0,1.07,40.6873664855957,-73.97566223144531,1,40.69368362426758,-73.96434783935547,0,2,5,1,9,16,19,24,5,1,9,16,24,48
538,9.0,1.9,40.68787384033203,-74.00139617919922,1,40.682125091552734,-73.97650146484375,0,1,0,1,11,23,3,47,0,1,11,23,14,9
539,7.0,1.51,40.75656509399414,-73.91389465332031,1,40.77038955688477,-73.91939544677734,0,2,2,1,20,0,37,45,2,1,20,0,47,49
540,19.0,6.34,40.615718841552734,-74.02860260009766,1,40.6834831237793,-73.99970245361328,0,2,4,1,15,23,47,25,4,1,15,23,59,30
541,6.5,0.84,40.64920043945313,-73.96588134765625,1,40.656700134277344,-73.96015930175781,0,2,2,1,27,8,10,48,2,1,27,8,17,53
542,4.5,0.93,40.76534271240234,-73.93177795410156,1,40.75423049926758,-73.94215393066406,0,2,1,1,26,19,31,33,1,1,26,19,34,15
543,4.5,0.63,40.78727340698242,-73.9417953491211,1,40.792293548583984,-73.950439453125,0,2,4,1,15,21,37,21,4,1,15,21,41,0
544,18.5,4.6,40.63505935668945,-74.02050018310547,1,40.693206787109375,-73.99090576171875,0,1,0,1,4,12,37,13,0,1,4,12,59,58
545,12.5,3.13,40.76348114013672,-73.96265411376953,1,40.79816818237305,-73.9523696899414,0,2,3,1,14,22,58,58,3,1,14,23,11,34
546,5.5,1.25,40.730125427246094,-73.95442199707031,1,40.71646118164063,-73.96135711669922,0,2,0,1,11,3,37,53,0,1,11,3,40,58
547,16.5,4.55,40.70094680786133,-73.89363861083984,5,40.71779251098633,-73.9575424194336,0,2,3,1,14,1,51,11,3,1,14,2,8,56
548,7.5,1.67,40.82597351074219,-73.87837219238281,1,40.82809829711914,-73.85022735595703,0,2,4,1,29,14,34,50,4,1,29,14,41,7
549,16.0,5.0,40.7642707824707,-73.98854064941406,1,40.81355285644531,-73.95621490478516,0,1,3,1,28,20,1,4,3,1,28,20,11,49
550,7.0,1.49,40.72331619262695,-73.94654083251953,1,40.73417663574219,-73.95742797851562,0,2,6,1,10,15,57,14,6,1,10,16,4,3
551,20.5,5.42,40.6861457824707,-73.81707763671875,1,40.73507690429688,-73.87419128417969,0,2,5,1,16,17,31,43,5,1,16,17,54,28
552,18.5,2.93,40.7275505065918,-73.99341583251953,1,40.71036148071289,-73.96369171142578,0,2,5,1,30,18,53,56,5,1,30,19,23,59
553,9.5,1.94,40.76292419433594,-73.79930114746094,1,40.7592887878418,-73.83076477050781,0,2,2,1,6,18,0,42,2,1,6,18,12,56
554,5.5,1.31,40.72171401977539,-73.81696319580078,5,40.71403121948242,-73.82994079589844,0,2,3,1,7,16,9,59,3,1,7,16,13,1
555,13.5,3.24,40.66980743408203,-73.94450378417969,2,40.69049835205078,-73.98737335205078,0,2,2,1,20,10,30,14,2,1,20,10,47,17
556,5.5,0.78,40.76142120361328,-73.91732025146484,1,40.76874542236328,-73.92500305175781,0,2,0,1,25,14,36,27,0,1,25,14,41,58
557,6.0,0.91,40.79977035522461,-73.93588256835938,1,40.807472229003906,-73.94490814208984,0,2,6,1,17,1,30,48,6,1,17,1,36,52
558,14.0,3.9,40.76188659667969,-73.92523193359375,1,40.7488899230957,-73.8709716796875,0,1,1,1,5,3,49,46,1,1,5,4,2,50
559,3.5,0.44,40.814369201660156,-73.94425964355469,1,40.808780670166016,-73.94834899902344,0,2,2,1,27,22,52,39,2,1,27,22,54,42
560,15.0,3.4,40.67530059814453,-73.78390502929688,1,40.717552185058594,-73.80367279052734,0,1,3,1,14,17,19,24,3,1,14,17,39,14
561,10.5,1.4,40.69231033325195,-73.98942565917969,2,40.67861557006836,-73.97344207763672,0,1,4,1,8,22,14,59,4,1,8,22,29,59
562,10.5,2.86,40.82931137084961,-73.93726348876953,1,40.79660415649414,-73.93500518798828,0,2,1,1,5,0,8,4,1,1,5,0,15,43
563,10.0,2.5,40.69147491455078,-73.83026123046875,1,40.71364212036133,-73.82975769042969,0,2,0,1,18,0,49,9,0,1,18,0,58,6
564,32.0,9.84,40.664894104003906,-73.982666015625,2,40.74732971191406,-73.88722229003906,0,2,4,1,1,15,52,45,4,1,1,16,23,3
565,6.0,1.28,40.8537712097168,-73.9393310546875,1,40.8397331237793,-73.94096374511719,0,2,3,1,28,23,51,17,3,1,28,23,56,43
566,10.0,2.0,40.809547424316406,-73.91798400878906,1,40.8296127319336,-73.89755249023438,0,1,3,1,21,16,41,5,3,1,21,16,53,0
567,22.0,6.32,40.76798629760742,-73.84036254882812,1,40.74713134765625,-73.8895034790039,0,2,1,1,26,16,55,2,1,1,26,17,21,34
568,16.0,3.21,40.69043350219727,-73.93372344970703,1,40.71713638305664,-73.95850372314453,0,2,0,1,4,17,15,43,0,1,4,17,38,56
569,8.5,1.88,40.75640106201172,-73.8760757446289,1,40.74574661254883,-73.90338134765625,0,2,2,1,20,14,36,59,2,1,20,14,45,22
570,7.0,1.47,40.69581985473633,-73.94532775878906,1,40.68085479736328,-73.95333099365234,0,2,5,1,16,21,56,35,5,1,16,22,2,54
571,6.5,1.4,40.75917053222656,-73.91962432861328,5,40.74534606933594,-73.90460968017578,0,2,6,1,3,2,8,17,6,1,3,2,13,47
572,5.0,0.48,40.80306625366211,-73.95645141601562,6,40.80915832519531,-73.95195770263672,0,2,1,1,26,18,56,55,1,1,26,19,1,28
573,5.5,0.98,40.74811553955078,-73.91290283203125,1,40.74588394165039,-73.90320587158203,0,2,2,1,6,21,52,45,2,1,6,21,57,9
574,11.5,2.22,40.6753158569336,-73.92198181152344,1,40.67299270629883,-73.96074676513672,0,2,5,1,16,13,33,8,5,1,16,13,48,28
575,4.0,0.39,40.730857849121094,-73.85638427734375,1,40.73036193847656,-73.86200714111328,0,2,4,1,1,12,32,42,4,1,1,12,35,34
576,7.0,0.93,40.707801818847656,-73.72850799560547,1,40.707801818847656,-73.72852325439453,0,2,1,1,12,11,38,6,1,1,12,11,46,4
577,13.5,4.01,40.82775115966797,-73.89826202392578,1,40.792335510253906,-73.93812561035156,0,2,5,1,16,9,27,29,5,1,16,9,43,41
578,11.0,2.94,40.74614334106445,-73.90311431884766,1,40.766761779785156,-73.92168426513672,0,2,4,1,29,13,55,49,4,1,29,14,4,23
579,12.5,2.92,40.80354690551758,-73.96353149414062,1,40.83965301513672,-73.9408950805664,0,2,4,1,15,21,44,10,4,1,15,21,57,35
580,20.0,3.61,40.71697998046875,-74.00348663330078,1,40.68917846679688,-73.99092864990234,0,2,4,1,15,9,44,7,4,1,15,10,14,7
581,12.5,2.4,40.67713165283203,-74.01264190673828,1,40.6915168762207,-73.98748016357422,0,1,1,1,12,15,51,30,1,1,12,16,8,34
582,11.5,2.25,40.804176330566406,-73.96701049804688,1,40.816497802734375,-73.93904113769531,0,2,3,1,7,16,30,10,3,1,7,16,45,0
583,16.5,3.0,40.77174377441406,-73.91606903076172,1,40.74440383911133,-73.91181945800781,0,1,5,1,30,16,20,32,5,1,30,16,44,52
584,4.5,0.82,40.80583572387695,-73.93467712402344,1,40.8008918762207,-73.9352035522461,0,2,2,1,20,6,12,36,2,1,20,6,15,56
585,4.0,0.51,40.737213134765625,-73.86389923095703,1,40.73348617553711,-73.86958312988281,0,2,4,1,29,22,52,10,4,1,29,22,55,14
586,8.0,1.46,40.82430648803711,-73.9454345703125,1,40.80790710449219,-73.94540405273438,0,2,1,1,5,18,3,34,1,1,5,18,12,14
587,6.5,1.2,40.80263900756836,-73.95685577392578,1,40.816871643066406,-73.953857421875,0,1,6,1,3,2,41,30,6,1,3,2,47,44
588,51.5,17.81,40.70653533935547,-73.72917938232422,1,40.6851921081543,-73.940185546875,0,2,1,1,5,23,43,37,2,1,6,0,22,25
589,11.5,3.3,40.78453063964844,-73.9437484741211,1,40.80702209472656,-73.91808319091797,0,1,5,1,23,3,44,3,5,1,23,3,54,54
590,4.5,0.74,40.71779251098633,-73.95764923095703,1,40.710731506347656,-73.96543884277344,0,2,4,1,1,4,16,6,4,1,1,4,19,50
591,15.0,6.66,40.8689079284668,-73.86710357666016,1,40.81441116333008,-73.91346740722656,0,2,3,1,7,20,29,17,3,1,7,20,45,38
592,8.5,1.82,40.7700080871582,-73.95149230957031,1,40.78871536254883,-73.95514678955078,0,2,5,1,2,22,2,20,5,1,2,22,10,45
593,5.0,0.8,40.802188873291016,-73.93910217285156,1,40.80180740356445,-73.94964599609375,0,2,0,1,4,23,15,32,0,1,4,23,19,47
594,14.0,3.92,40.83749771118164,-73.91677856445312,1,40.79581069946289,-73.94782257080078,0,2,2,1,20,23,18,2,2,1,20,23,30,5
595,5.0,0.82,40.80989074707031,-73.95884704589844,1,40.807899475097656,-73.94568634033203,0,2,0,1,11,12,41,44,0,1,11,12,46,11
596,4.5,0.57,40.81806564331055,-73.94176483154297,1,40.82583999633789,-73.93614959716797,0,2,4,1,1,12,26,20,4,1,1,12,28,36
597,8.0,1.99,40.80694961547852,-73.91568756103516,1,40.828033447265625,-73.91253662109375,0,2,4,1,15,20,26,18,4,1,15,20,36,25
598,23.0,7.1,40.74605941772461,-73.95553588867188,1,40.67639923095703,-73.9802474975586,0,1,5,1,30,23,24,50,5,1,30,23,46,40
599,19.0,5.06,40.76177978515625,-73.92118072509766,1,40.70608139038086,-73.95128631591797,0,2,3,1,7,22,54,56,3,1,7,23,17,26
600,6.5,1.23,40.808876037597656,-73.92249298095703,1,40.8142204284668,-73.94129943847656,0,2,2,1,6,11,47,55,2,1,6,11,53,47
601,4.5,0.5,40.81239700317383,-73.94833374023438,1,40.810302734375,-73.939453125,0,1,2,1,13,8,15,3,2,1,13,8,18,25
602,20.0,3.6,40.72472381591797,-74.00768280029297,1,40.69084167480469,-73.99114227294922,0,1,1,1,19,9,11,59,1,1,19,9,42,38
603,8.5,2.06,40.75841522216797,-73.94233703613281,6,40.7700309753418,-73.91746520996094,0,2,6,1,10,3,40,37,6,1,10,3,47,41
604,25.0,8.3,40.715328216552734,-74.00942993164062,1,40.78547286987305,-73.949951171875,0,2,4,1,29,23,31,3,4,1,29,23,49,55
605,12.0,1.73,40.76693344116211,-73.96710968017578,1,40.78836441040039,-73.95258331298828,0,2,1,1,26,15,59,57,1,1,26,16,17,16
606,15.0,2.84,40.6926383972168,-73.970703125,4,40.66587829589844,-73.98904418945312,0,2,2,1,6,20,1,53,2,1,6,20,22,41
607,10.0,2.67,40.75128936767578,-73.97583770751953,1,40.74739074707031,-73.95643615722656,0,2,5,1,2,14,29,6,5,1,2,14,38,51
608,9.0,1.78,40.74553298950195,-73.92314910888672,1,40.765724182128906,-73.9189453125,0,2,4,1,15,22,27,23,4,1,15,22,37,15
609,4.0,0.63,40.58684158325195,-73.94396209716797,1,40.5872917175293,-73.95379638671875,0,2,2,1,6,16,31,44,2,1,6,16,34,52
610,6.0,1.24,40.730995178222656,-73.8814926147461,1,40.73424530029297,-73.8685073852539,0,2,5,1,16,21,4,40,5,1,16,21,10,41
611,11.5,2.79,40.7646598815918,-73.98152923583984,1,40.7862548828125,-73.95055389404297,0,2,5,1,16,21,34,8,5,1,16,21,46,53
612,7.5,1.63,40.74706268310547,-73.88899993896484,2,40.74722290039063,-73.88819122314453,0,2,5,1,16,4,27,18,5,1,16,4,36,15
613,4.0,0.65,40.72308349609375,-73.95569610595703,1,40.71604919433594,-73.9617919921875,0,2,5,1,16,9,6,8,5,1,16,9,8,40
614,19.5,3.43,40.6370964050293,-73.9112777709961,1,40.64660263061523,-73.95710754394531,0,2,6,1,17,20,29,54,6,1,17,20,59,28
615,3.5,0.45,40.743743896484375,-73.88993072509766,2,40.74637222290039,-73.89575958251953,0,2,5,1,9,12,22,34,5,1,9,12,24,47
616,5.5,0.75,40.71008682250977,-73.95783996582031,6,40.71611022949219,-73.95962524414062,0,2,5,1,30,18,27,12,5,1,30,18,32,12
617,6.5,1.26,40.67438507080078,-73.97559356689453,1,40.67135620117188,-73.95774841308594,0,2,0,1,4,14,29,18,0,1,4,14,36,8
618,8.0,1.53,40.79804229736328,-73.96367645263672,1,40.80787658691406,-73.94551086425781,0,2,0,1,11,15,26,40,0,1,11,15,34,37
619,7.5,1.2,40.68854904174805,-73.9798355102539,1,40.693580627441406,-73.96501922607422,0,1,1,1,5,8,47,29,1,1,5,8,56,24
620,13.0,3.25,40.64884948730469,-74.00139617919922,1,40.67202758789063,-74.01049041748047,0,2,6,1,17,13,4,18,6,1,17,13,18,9
621,6.5,1.0,40.71015930175781,-73.9532470703125,1,40.70090103149414,-73.94117736816406,0,2,0,1,11,22,37,14,0,1,11,22,43,13
622,6.0,0.87,40.87043380737305,-73.9027328491211,1,40.87944412231445,-73.90968322753906,0,2,1,1,12,16,58,45,1,1,12,17,4,32
623,11.0,2.57,40.83284378051758,-73.94396209716797,1,40.80338668823242,-73.95258331298828,0,2,4,1,29,20,25,42,4,1,29,20,38,48
624,6.0,1.23,40.8104248046875,-73.96356964111328,1,40.80353164672852,-73.95306396484375,0,2,5,1,16,22,30,6,5,1,16,22,34,20
625,11.0,2.3,40.68761825561523,-73.95487976074219,1,40.71399688720703,-73.95974731445312,0,2,2,1,6,13,40,19,2,1,6,13,54,51
626,7.0,1.4,40.65581130981445,-73.94222259521484,1,40.66951370239258,-73.95061492919922,0,1,0,1,18,23,40,3,0,1,18,23,45,58
627,16.0,3.69,40.72862243652344,-74.00526428222656,1,40.71414566040039,-73.95159149169922,0,2,5,1,30,3,39,47,5,1,30,3,58,56
628,8.0,1.8,40.730411529541016,-73.80525207519531,6,40.71005630493164,-73.79481506347656,0,2,6,1,24,12,20,9,6,1,24,12,29,29
629,23.5,5.74,40.750389099121094,-73.9886474609375,1,40.80616760253906,-73.96160125732422,0,2,3,1,14,17,10,55,3,1,14,17,38,19
630,7.5,1.37,40.73789978027344,-73.8743667602539,1,40.74264526367188,-73.89353942871094,0,2,2,1,27,19,7,36,2,1,27,19,16,20
631,7.5,1.03,40.819297790527344,-73.9532470703125,1,40.80665588378906,-73.95380401611328,0,2,5,1,2,15,46,7,5,1,2,15,54,54
632,8.0,1.69,40.69316101074219,-73.96859741210938,1,40.67703628540039,-73.95679473876953,0,2,4,1,1,11,8,9,4,1,1,11,15,58
633,17.0,4.22,40.7452507019043,-73.98286437988281,1,40.70208740234375,-73.98286437988281,0,2,3,1,7,7,54,51,3,1,7,8,13,57
634,6.5,1.35,40.81699752807617,-73.93601989746094,1,40.80352020263672,-73.9485092163086,0,2,4,1,29,0,0,9,4,1,29,0,5,26
635,14.0,3.8,40.67051315307617,-73.89649200439453,1,40.67351150512695,-73.96277618408203,0,2,4,1,8,22,11,48,4,1,8,22,26,32
636,7.0,1.04,40.755775451660156,-73.8830337524414,1,40.74689865112305,-73.89105987548828,0,2,4,1,15,2,54,27,4,1,15,3,2,40
637,6.5,0.81,40.80594253540039,-73.95433807373047,1,40.80952453613281,-73.94432830810547,0,2,4,1,29,15,21,35,4,1,29,15,28,20
638,16.0,3.9,40.7259521484375,-73.98371124267578,2,40.71490478515625,-73.9517593383789,0,1,3,1,21,22,53,3,3,1,21,23,10,16
639,11.5,2.98,40.77083206176758,-73.92082214355469,1,40.744102478027344,-73.88505554199219,0,2,0,1,25,21,7,18,0,1,25,21,18,11
640,27.0,6.79,40.742923736572266,-73.97712707519531,1,40.811973571777344,-73.96134185791016,0,2,5,1,9,18,19,38,5,1,9,18,53,40
641,7.5,1.7,40.68403625488281,-73.81592559814453,1,40.70016479492188,-73.80777740478516,0,1,2,1,13,19,31,20,2,1,13,19,38,37
642,9.0,1.53,40.68718338012695,-73.99019622802734,2,40.70277786254883,-73.99430847167969,0,2,0,1,4,17,29,51,0,1,4,17,41,18
643,5.0,0.7,40.80060577392578,-73.95457458496094,1,40.80891418457031,-73.94853210449219,0,1,5,1,16,17,50,30,5,1,16,17,54,17
644,31.0,10.87,40.774070739746094,-73.87137603759766,1,40.68559265136719,-73.98139953613281,0,2,5,1,2,4,17,31,5,1,2,4,34,51
645,3.5,0.22,40.68153381347656,-73.95722961425781,1,40.680641174316406,-73.95315551757812,0,2,1,1,5,15,55,17,1,1,5,15,58,5
646,5.0,0.73,40.809326171875,-73.9517593383789,1,40.80056381225586,-73.95066833496094,0,2,5,1,9,9,42,44,5,1,9,9,46,16
647,6.5,1.29,40.796165466308594,-73.93596649169922,1,40.80432510375977,-73.957275390625,0,2,5,1,9,23,41,35,5,1,9,23,47,40
648,6.5,1.15,40.69481658935547,-73.99397277832031,1,40.682918548583984,-73.99301147460938,0,2,4,1,22,23,15,33,4,1,22,23,22,22
649,9.5,2.37,40.70906066894531,-74.00501251220703,3,40.70320510864258,-73.99172973632812,0,2,4,1,22,12,36,4,4,1,22,12,46,31
650,28.5,8.02,40.71687316894531,-73.99583435058594,1,40.76421737670898,-73.94766998291016,0,2,6,1,10,15,13,26,6,1,10,15,44,2
651,27.5,5.85,40.72434616088867,-73.98477172851562,1,40.655609130859375,-73.9736328125,0,2,4,1,8,18,41,0,4,1,8,19,20,6
